CMUN,POP21
39071,474
39072,337
39080,4073
39073,13292
39074,9205
39075,172221
39076,4231
39077,244
39078,1695
39079,11011
39081,519
39082,1854
39083,1153
39084,1048
39085,9026
39086,397
39087,51237
39088,59
39089,148
39090,930
39095,2786
39091,2157
39092,922
39093,316
39094,961
39101,276
39096,718
39097,748
39098,1625
39099,3958
39100,1012
39102,2789
12002,135
12003,1253
12004,6691
12005,10428
12006,196
12007,870
12008,240
12009,26878
12010,254
12011,6254
12901,4539
12012,3658
12013,152
12014,175
12015,147
12016,1970
12001,1292
12017,158
12018,319
12020,185
12022,390
12024,173
12025,145
12026,1055
12027,27658
12028,18991
12029,1075
12021,5605
12032,34903
12031,5552
12033,3027
12034,2002
12036,687
12037,22
12038,179
12039,914
12040,172589
12041,103
12042,714
12043,663
12044,577
12053,2795
12055,109
12056,302
12045,404
12046,211
12048,291
12049,531
12050,1792
12051,510
12057,749
12058,84
12059,273
12060,531
12061,454
12063,49
12064,93
12065,186
12067,628
12068,53
12069,49
12070,664
12071,1650
12074,983
12072,1308
12073,155
12075,169
12076,73
12077,6958
12078,365
12079,544
12080,2406
12081,750
12082,13256
12083,117
12084,24939
12085,9755
12087,36
12088,72
12089,7882
12090,114
12093,213
12094,1239
12091,181
12092,158
12095,1156
12096,904
12097,57
12098,683
12101,468
12902,3307
12099,1063
12100,1968
12102,755
12104,9139
12103,92
12105,992
12106,1479
12107,428
12108,554
12109,843
12110,245
12111,419
12112,145
12113,101
12114,247
12115,239
12116,63
12119,167
12120,157
12117,5606
12118,93
12121,1358
12122,968
12124,2943
12125,286
12126,31549
12123,57
12127,67
12128,1840
12129,2201
12132,578
12134,174
12135,51130
12136,3111
12130,476
12131,92
12133,82
12137,46
12138,28862
12139,337
12140,1661
12052,686
12141,116
12142,175
51001,83517
13001,1339
13002,1638
13003,470
13004,1099
13005,30548
13006,540
13007,1363
13008,466
13009,1598
13010,989
13011,5105
13012,398
13013,8896
13014,497
13015,5947
13016,750
13017,274
13903,572
13018,1033
13019,6844
13020,5853
13021,408
13022,370
13023,11992
13024,1002
13025,307
13026,465
13027,3615
13028,13229
13029,105
13030,116
13031,3086
13032,1175
13033,1833
13038,1777
13034,75104
13035,1102
13036,876
13037,923
13039,17771
13040,979
13041,248
13042,1018
13043,214
13044,3141
13045,719
13046,725
13047,8510
13048,503
13049,826
13050,563
13904,700
13051,365
13052,7842
13053,17845
13054,5927
13055,662
13056,15658
13057,1256
13058,5211
13059,208
13060,287
13061,7325
13062,661
13063,4390
13064,2759
13065,3495
13066,3623
13067,352
13068,1141
13069,687
13070,890
13071,46036
13072,930
13901,1058
13902,563
13073,540
13074,1087
13075,211
13076,515
13077,4017
13078,12067
13080,322
13079,15357
13081,633
13082,35984
13083,2990
13084,990
13085,2708
13086,164
13087,30218
13088,658
13089,1770
13090,1114
13091,612
13092,1985
13093,4852
13094,280
13095,56
13096,9722
13097,2723
13098,2224
14001,4141
14002,13398
14003,1481
14004,2352
14005,8036
14006,1526
14007,18885
14008,3207
14009,2905
14010,4982
14011,659
14012,7316
14013,20245
14014,2888
14015,2374
14016,1473
14017,14228
14018,4382
14019,7740
14020,372
14021,322071
14022,4603
14023,2399
14024,2256
14025,3272
